"","learn","x","agelfted","sex","datyear"
"1039",9.37270748330954,58,23,"male",84
"1040",7.33901804818839,61,16,"female",84
"1041",8.34495183018623,37,14,"male",84
"1050",8.84908351853234,59,15,"male",84
"1054",7.12929754892937,41,15,"female",84
"1055",9.73765016347813,39,21,"male",84
"1057",7.69980613947256,36,14,"female",84
"1059",9.69888360026701,59,25,"male",84
"1066",9.4077606645323,37,30,"male",84
"1070",8.96951641495734,44,14,"male",84
"1071",7.3185395485679,46,14,"female",84
"1074",8.61118609774669,65,17,"female",84
"1075",8.97637344402029,45,14,"male",84
"1076",7.82244472948932,50,15,"female",84
"1078",9.03463364667724,45,14,"male",84
"1079",7.28344822875663,50,14,"female",84
"1082",8.71538152925723,41,15,"male",84
"1083",9.37835003958796,54,16,"male",84
"1084",5.67579444230053,52,17,"female",84
"1087",8.81877816903701,54,15,"male",84
"1088",7.2283884515736,58,15,"female",84
"1092",8.47628788043698,49,17,"female",84
"1094",9.24956108512946,45,14,"male",84
"1096",8.57670662624007,58,18,"female",84
"1101",9.75066969179307,59,29,"male",84
"1104",10.6213254401968,46,18,"male",84
"1107",8.52192601687671,41,14,"male",84
"1108",5.96614673912369,45,14,"female",84
"1113",7.85483121109803,43,14,"female",84
"1116",8.58441813384968,43,14,"male",84
"1117",7.41697962138115,45,13,"female",84
"1118",8.36875809634036,38,17,"male",84
"1119",7.84652743437998,36,16,"female",84
"1123",9.08704215563169,37,14,"male",84
"1124",8.51694511377252,40,16,"female",84
"1141",8.77955745588373,43,14,"male",84
"1142",8.64963099312407,44,14,"female",84
"1149",9.17790393722511,43,18,"male",84
"1150",8.33176917070426,41,14,"female",84
"1151",10.2428128581397,43,15,"male",84
"1165",9.46495465572994,62,21,"male",84
"1167",8.5956346177228,58,16,"male",84
"1168",8.39389497507174,55,15,"female",84
"1176",9.11950931582549,44,16,"female",84
"1177",9.48794784218155,61,16,"male",84
"1179",9.03593455135114,61,15,"male",84
"1183",10.2035906982262,40,17,"male",84
"1184",5.88565947803396,40,16,"female",84
"1185",9.39262188890605,63,17,"male",84
"1186",9.20628812975277,63,23,"female",84
"1187",10.0827093393001,53,25,"male",84
"1192",9.49969701810899,61,16,"male",84
"1193",7.8753928926752,60,17,"female",84
"1194",8.98819632099506,46,14,"male",84
"1197",7.44775128004791,47,14,"female",84
"1201",9.02385170733593,54,15,"male",84
"1206",7.82202796033641,65,30,"female",84
"1207",9.45795638969915,65,15,"male",84
"1209",8.90918123687474,43,14,"male",84
"1212",9.03593455135114,45,15,"male",84
"1218",9.39262188890605,56,18,"male",84
"1219",5.25687020208108,59,20,"female",84
"1220",8.91408834884133,43,14,"male",84
"1221",7.72285452707062,43,14,"female",84
"1223",8.96187901267768,52,15,"male",84
"1224",8.81646779542422,60,15,"female",84
"1227",8.69947470834611,42,12,"female",84
"1232",7.63611511830075,46,14,"female",84
"1234",9.21455549926957,54,15,"male",84
"1235",8.14089846060785,58,15,"female",84
"1237",9.19277906307957,65,16,"male",84
"1239",9.26499139689534,39,32,"female",84
"1241",9.13415027577313,58,15,"male",84
"1246",8.81877816903701,59,16,"male",84
"1247",7.35244110024358,59,16,"female",84
"1248",9.64386411840299,57,23,"male",84
"1249",9.42221101274541,44,15,"male",84
"1256",8.74031752379577,61,24,"male",84
"1257",8.80022248870417,61,21,"female",84
"1259",9.30428598481871,60,17,"male",84
"1261",8.96187901267768,63,16,"male",84
"1262",8.5350880756481,64,21,"female",84
"1265",7.9402277651457,54,15,"female",84
"1267",9.1735975706371,39,21,"female",84
"1270",9.00270100719794,50,15,"male",84
"1271",6.70426729131109,54,16,"female",84
"1272",9.53240646270573,53,22,"male",84
"1273",9.26916760740221,62,23,"male",84
"1274",7.63133469034456,64,15,"female",84
"1278",9.79811596910872,49,22,"male",84
"1281",9.434753507652,38,24,"female",84
"1282",8.46353072763032,62,16,"male",84
"1293",8.01168672912785,43,15,"female",84
"1294",9.15470078345674,65,21,"male",84
"1297",8.96931797160006,40,15,"male",84
"1300",9.30291225350471,59,16,"male",84
"1301",7.29410550664047,62,18,"female",84
"1302",8.60520406873895,49,15,"male",84
"1303",8.78998293920917,56,15,"female",84
"1306",9.09150272768117,38,14,"male",84
"1307",9.67633095482901,60,16,"male",84
"1313",8.67597312296341,55,16,"male",84
"1318",8.62929257093417,40,14,"male",84
"1323",10.2399569292202,54,17,"male",84
"1324",9.94270826568941,55,21,"female",84
"1328",8.95297278299543,43,14,"male",84
"1330",8.81877816903701,53,15,"male",84
"1331",5.90710423833442,57,16,"female",84
"1335",9.19336099968299,58,15,"male",84
"1337",9.40613737611337,58,16,"male",84
"1338",7.04228617193974,60,15,"female",84
